url_path,views_total,views_unique
/vandan-revanur/pychemprojections/tree/master/examples,17,4
/vandan-revanur/pychemprojections,15,8
/vandan-revanur/pychemprojections/tree/github-repo-stats/vandan-revanur/pychemprojections,13,1
/vandan-revanur/pychemprojections/blob/github-repo-stats/vandan-revanur/pychemprojections/latest-report/report.md,12,1
/vandan-revanur/pychemprojections/tree/github-repo-stats/vandan-revanur/pychemprojections/latest-report,8,1
/vandan-revanur/pychemprojections/blob/master/examples/fischer_projection.ipynb,6,3
/vandan-revanur/pychemprojections/blob/master/examples/wedgedash_projection.ipynb,6,3
/vandan-revanur/pychemprojections/tree/master/pychemprojections,6,2
/vandan-revanur/pychemprojections/new/master,6,1
/vandan-revanur/pychemprojections/blob/master/examples/newman_projection.ipynb,5,2
