time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-03 00:00:00+00:00,3,2,,
2023-08-04 00:00:00+00:00,3,2,15.0,3.0
2023-08-05 00:00:00+00:00,4,3,,
2023-08-06 00:00:00+00:00,3,2,,
2023-08-07 00:00:00+00:00,5,4,19.0,3.0
2023-08-08 00:00:00+00:00,4,3,13.0,3.0
2023-08-09 00:00:00+00:00,4,3,,
2023-08-10 00:00:00+00:00,3,2,5.0,1.0
2023-08-11 00:00:00+00:00,3,2,12.0,4.0
2023-08-12 00:00:00+00:00,3,2,9.0,1.0
2023-08-13 00:00:00+00:00,3,2,,
2023-08-14 00:00:00+00:00,4,3,1.0,1.0
2023-08-15 00:00:00+00:00,4,3,,
