time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-02 00:00:00+00:00,25,8,0,0
2026-05-03 00:00:00+00:00,32,10,0,0
2026-05-04 00:00:00+00:00,7,2,0,0
2026-05-05 00:00:00+00:00,44,11,0,0
2026-05-06 00:00:00+00:00,9,4,0,0
2026-05-07 00:00:00+00:00,20,7,0,0
2026-05-08 00:00:00+00:00,13,5,0,0
2026-05-09 00:00:00+00:00,23,9,0,0
2026-05-10 00:00:00+00:00,28,6,0,0
2026-05-11 00:00:00+00:00,23,6,0,0
2026-05-12 00:00:00+00:00,8,3,0,0
2026-05-13 00:00:00+00:00,29,6,0,0
2026-05-14 00:00:00+00:00,26,9,0,0
2026-05-15 00:00:00+00:00,24,7,0,0
