time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-06 00:00:00+00:00,9,4,0,0
2026-05-07 00:00:00+00:00,20,7,0,0
2026-05-08 00:00:00+00:00,13,5,0,0
2026-05-09 00:00:00+00:00,23,9,0,0
2026-05-10 00:00:00+00:00,28,6,0,0
2026-05-11 00:00:00+00:00,23,6,0,0
2026-05-12 00:00:00+00:00,8,3,0,0
2026-05-13 00:00:00+00:00,29,6,0,0
2026-05-14 00:00:00+00:00,26,9,0,0
2026-05-15 00:00:00+00:00,24,7,0,0
2026-05-16 00:00:00+00:00,28,7,0,0
2026-05-17 00:00:00+00:00,9,3,12,1
2026-05-18 00:00:00+00:00,12,3,1,1
2026-05-19 00:00:00+00:00,28,7,0,0
