time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-23 00:00:00+00:00,59,21,0,0
2026-04-24 00:00:00+00:00,61,23,0,0
2026-04-25 00:00:00+00:00,55,20,0,0
2026-04-26 00:00:00+00:00,18,6,0,0
2026-04-27 00:00:00+00:00,21,7,0,0
2026-04-28 00:00:00+00:00,7,3,0,0
2026-04-29 00:00:00+00:00,41,10,0,0
2026-04-30 00:00:00+00:00,32,8,1,1
2026-05-01 00:00:00+00:00,24,5,0,0
2026-05-02 00:00:00+00:00,25,8,0,0
2026-05-03 00:00:00+00:00,32,10,0,0
2026-05-04 00:00:00+00:00,7,2,0,0
2026-05-05 00:00:00+00:00,44,11,0,0
2026-05-06 00:00:00+00:00,9,4,0,0
