url_path,views_total,views_unique
/vandan-revanur/pychemprojections/tree/master/examples,14,5
/vandan-revanur/pychemprojections,13,12
/vandan-revanur/pychemprojections/tree/github-repo-stats/vandan-revanur/pychemprojections,5,2
/vandan-revanur/pychemprojections/tree/github-repo-stats/vandan-revanur/pychemprojections/latest-report,5,2
/vandan-revanur/pychemprojections/tree/master/pychemprojections/newman,5,1
/vandan-revanur/pychemprojections/blob/github-repo-stats/vandan-revanur/pychemprojections/latest-report/report.pdf,4,2
/vandan-revanur/pychemprojections/blob/master/examples/fischer_projection.ipynb,4,2
/vandan-revanur/pychemprojections/blob/master/examples/newman_projection.ipynb,4,2
/vandan-revanur/pychemprojections/tree/master/pychemprojections,3,1
/vandan-revanur/pychemprojections/tree/github-repo-stats,2,2
