url_path,views_total,views_unique
/vandan-revanur/pychemprojections,20,11
/vandan-revanur/pychemprojections/blob/master/examples/wedgedash_projection.ipynb,15,2
/vandan-revanur/pychemprojections/tree/master/examples,12,4
/vandan-revanur/pychemprojections/tree/master/pychemprojections,12,3
/vandan-revanur/pychemprojections/blob/github-repo-stats/vandan-revanur/pychemprojections/latest-report/report.pdf,12,1
/vandan-revanur/pychemprojections/blob/master/examples/fischer_projection.ipynb,9,2
/vandan-revanur/pychemprojections/tree/github-repo-stats/vandan-revanur/pychemprojections,9,1
/vandan-revanur/pychemprojections/tree/github-repo-stats/vandan-revanur/pychemprojections/latest-report,9,1
/vandan-revanur/pychemprojections/tree/master/pychemprojections/fischer,6,1
/vandan-revanur/pychemprojections/actions/runs/7703734443,4,2
