time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-30 00:00:00+00:00,15,6,33,11
2026-07-31 00:00:00+00:00,4,4,0,0
2026-08-01 00:00:00+00:00,5,5,0,0
2026-08-02 00:00:00+00:00,21,7,0,0
2026-08-03 00:00:00+00:00,2,2,2,2
2026-08-04 00:00:00+00:00,19,7,0,0
2026-08-05 00:00:00+00:00,4,4,48,3
2026-08-06 00:00:00+00:00,6,1,10,1
2026-08-07 00:00:00+00:00,9,4,0,0
2026-08-08 00:00:00+00:00,15,11,23,3
2026-08-09 00:00:00+00:00,1,1,0,0
2026-08-10 00:00:00+00:00,14,5,0,0
2026-08-11 00:00:00+00:00,22,9,2,2
2026-08-12 00:00:00+00:00,29,16,0,0
