time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-26 00:00:00+00:00,4,3,3,1
2023-06-27 00:00:00+00:00,1,1,10,1
2023-06-28 00:00:00+00:00,8,3,12,2
2023-06-29 00:00:00+00:00,3,2,9,2
2023-06-30 00:00:00+00:00,3,2,3,2
2023-07-01 00:00:00+00:00,3,2,5,2
2023-07-02 00:00:00+00:00,3,2,1,1
2023-07-03 00:00:00+00:00,5,4,12,1
2023-07-04 00:00:00+00:00,3,2,22,3
2023-07-05 00:00:00+00:00,3,2,12,2
2023-07-06 00:00:00+00:00,4,3,13,2
2023-07-07 00:00:00+00:00,3,2,2,2
2023-07-08 00:00:00+00:00,4,3,2,2
