url_path,views_total,views_unique
/vandan-revanur/pychemprojections/blob/master/examples/wedgedash_projection.ipynb,15,5
/vandan-revanur/pychemprojections/tree/master/examples,15,4
/vandan-revanur/pychemprojections,10,8
/vandan-revanur/pychemprojections/blob/master/examples/fischer_projection.ipynb,8,3
/vandan-revanur/pychemprojections/blob/master/examples,2,1
/vandan-revanur/pychemprojections/blob/master/examples/newman_projection.ipynb,2,1
/vandan-revanur/pychemprojections/blob/master/README.md,2,1
/vandan-revanur/pychemprojections/tree/master,1,1
