time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-31 00:00:00+00:00,10,6,,
2024-01-01 00:00:00+00:00,11,7,,
2024-01-02 00:00:00+00:00,10,4,,
2024-01-03 00:00:00+00:00,4,3,,
2024-01-04 00:00:00+00:00,4,3,,
2024-01-05 00:00:00+00:00,2,2,,
2024-01-06 00:00:00+00:00,4,3,3.0,1.0
2024-01-07 00:00:00+00:00,2,2,,
2024-01-08 00:00:00+00:00,5,4,,
2024-01-09 00:00:00+00:00,3,3,15.0,1.0
2024-01-10 00:00:00+00:00,2,2,9.0,1.0
2024-01-11 00:00:00+00:00,2,2,5.0,1.0
2024-01-12 00:00:00+00:00,2,2,9.0,1.0
2024-01-13 00:00:00+00:00,6,2,,
